Titulo,URL
Machine learning and deep learning applications-a vision,"https://scholar.google.com/scholar?cites=16263748242046016632&as_sdt=2005&sciodt=0,5&hl=es"
Machine learning activation energies of chemical reactions,"https://scholar.google.com/scholar?cites=11023774757472210147&as_sdt=2005&sciodt=0,5&hl=es"
